app,l1_kb,run_path,simInsts,numCycles,ipc,il1_miss_rate,dl1_miss_rate,l2_miss_rate,branch_cond_incorrect,branch_cond_predicted,branch_mispred_rate,commit_branch_mispredicts,btb_hit_ratio
blowfish,1,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/blowfish_L1_1k,3398906.0,13878184.0,0.24491,0.288312,0.207037,0.005693,4494.0,206929.0,0.02171759395734769,4224.0,0.997335
blowfish,2,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/blowfish_L1_2k,3398906.0,13524386.0,0.251317,0.108305,0.168336,0.008915,4494.0,206520.0,0.021760604299825684,4224.0,0.997314
blowfish,4,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/blowfish_L1_4k,3398906.0,12857106.0,0.26436,0.010244,0.110276,0.016905,4495.0,206745.0,0.02174175917192677,4224.0,0.997224
blowfish,8,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/blowfish_L1_8k,3398906.0,11596197.0,0.293105,0.001833,0.020889,0.097911,4495.0,206942.0,0.0217210619400605,4224.0,0.997198
blowfish,16,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/blowfish_L1_16k,3398906.0,11538163.0,0.294579,0.001614,0.016479,0.127037,4494.0,206950.0,0.021715390190867358,4224.0,0.997172
dijkstra,1,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/dijkstra_L1_1k,52987685.0,221154550.0,0.239596,0.140228,0.250429,0.000708,222056.0,9701398.0,0.02288907227597507,169486.0,0.96365
dijkstra,2,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/dijkstra_L1_2k,52987685.0,211680561.0,0.250319,0.102462,0.184168,0.000938,222093.0,9712636.0,0.022866397958288563,169502.0,0.963628
dijkstra,4,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/dijkstra_L1_4k,52987685.0,203228448.0,0.26073,0.050392,0.138406,0.001347,222183.0,9763358.0,0.02275682198686149,169544.0,0.955238
dijkstra,8,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/dijkstra_L1_8k,52987685.0,189046706.0,0.280289,0.008246,0.067114,0.003133,222183.0,9784857.0,0.02270682136693464,169544.0,0.952046
dijkstra,16,/home/javit/microprocesseurs/Microprocessors-architecture-config/tp4/runs/gem5/A7/dijkstra_L1_16k,52987685.0,184751737.0,0.286805,0.000244,0.045769,0.004912,222183.0,9793704.0,0.02268630949026027,169544.0,0.952009
