proc,app,l1_kb,ipc,area_total_28,surf_eff_ipc_per_mm2
A15,blowfish,2,1.045684,2.267948948,0.461070343
A15,blowfish,4,1.129990,2.257729938,0.500498302
A15,blowfish,8,1.415052,2.273986761,0.622278029
A15,blowfish,16,1.446239,2.276842655,0.635194969
A15,blowfish,32,1.576089,2.319913649,0.679373993
A7,blowfish,1,0.244910,0.757841236,0.323167952
A7,blowfish,2,0.251317,0.769662949,0.326528645
A7,blowfish,4,0.264360,0.761386465,0.347208694
A7,blowfish,8,0.293105,0.775283048,0.378061923
A7,blowfish,16,0.294579,0.788328831,0.373675284
A15,dijkstra,2,0.654431,2.267948948,0.288556319
A15,dijkstra,4,0.714325,2.257729938,0.316390808
A15,dijkstra,8,0.878416,2.273986761,0.386288968
A15,dijkstra,16,0.947300,2.276842655,0.416058614
A15,dijkstra,32,1.056581,2.319913649,0.455439796
A7,dijkstra,1,0.239596,0.757841236,0.316155929
A7,dijkstra,2,0.250319,0.769662949,0.325231974
A7,dijkstra,4,0.260730,0.761386465,0.342441076
A7,dijkstra,8,0.280289,0.775283048,0.361531186
A7,dijkstra,16,0.286805,0.788328831,0.363813917
