
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001625                       # Number of seconds simulated (Second)
simTicks                                   1625206000                       # Number of ticks simulated (Tick)
finalTick                                  1625206000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.56                       # Real time elapsed on the host (Second)
hostTickRate                                247671065                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2192540                       # Number of bytes of host memory used (Byte)
simInsts                                      3398906                       # Number of instructions simulated (Count)
simOps                                        3398922                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   517964                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     517966                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3250414                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.956312                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.045684                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         3417176                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      125                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3442015                       # Number of instructions issued (Count)
system.cpu.squashedInstsExamined                18378                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              9464                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  23                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3216840                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.069999                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.337271                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1571210     48.84%     48.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    679658     21.13%     69.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    440529     13.69%     83.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    275648      8.57%     92.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    204442      6.36%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     35559      1.11%     99.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9766      0.30%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        28      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3216840                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
