
---------- Begin Simulation Statistics ----------
simSeconds                                   0.030161                       # Number of seconds simulated (Second)
simTicks                                  30160917000                       # Number of ticks simulated (Tick)
finalTick                                 30160917000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     93.13                       # Real time elapsed on the host (Second)
hostTickRate                                323860425                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2192944                       # Number of bytes of host memory used (Byte)
simInsts                                     52987685                       # Number of instructions simulated (Count)
simOps                                       52998169                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   568968                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     569080                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         60321836                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.138412                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.878416                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        54445462                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    50346                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54124548                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      6                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1497638                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            801086                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 646                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            60263101                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.898137                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.146157                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  31682518     52.57%     52.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13197895     21.90%     74.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6080858     10.09%     84.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8651630     14.36%     98.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    477871      0.79%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    150996      0.25%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      5748      0.01%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     15585      0.03%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              60263101                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
