
---------- Begin Simulation Statistics ----------
simSeconds                                   0.022308                       # Number of seconds simulated (Second)
simTicks                                  22307991000                       # Number of ticks simulated (Tick)
finalTick                                 22307991000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    145.70                       # Real time elapsed on the host (Second)
hostTickRate                                153105804                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2241564                       # Number of bytes of host memory used (Byte)
simInsts                                     50169465                       # Number of instructions simulated (Count)
simOps                                       50179949                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   344326                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     344398                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         44615983                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.889306                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.124473                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        52284109                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    60279                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       51928356                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      1                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2164438                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            927996                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               10579                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            44577637                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.164897                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.336162                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  20016679     44.90%     44.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8969898     20.12%     65.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7647336     17.16%     82.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5117879     11.48%     93.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1879608      4.22%     97.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    906123      2.03%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     29896      0.07%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        18      0.00%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     10200      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              44577637                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
